"","p","b","e","w"
"624",0.355,0,25000,50000
"625",0.355,0,25000,50000
"626",0.355,0,25000,50000
"627",0.355,0,25000,50000
"628",0.355,0,25000,50000
"629",0.355,0,25000,50000
"630",0.355,0,25000,50000
"631",0.355,0,25000,50000
"632",0.355,0,25000,50000
"633",0.355,0,25000,50000
"634",0.355,0,25000,50000
"635",0.355,0,25000,50000
"636",0.355,0,25000,50000
"637",0.355,0,25000,50000
"638",0.58,30000,50000,75173
"639",0.355,51000,75500,1e+05
"640",0.355,51000,75500,1e+05
"641",0.355,51000,75500,1e+05
"642",0.355,51000,75500,1e+05
"643",0.355,51000,75500,1e+05
"644",0.355,51000,75500,1e+05
"645",0.355,51000,75500,1e+05
"646",0.355,51000,75500,1e+05
"647",0.355,51000,75500,1e+05
"648",0.355,51000,75500,1e+05
"649",0.355,51000,75500,1e+05
"650",0.355,51000,75500,1e+05
"651",0.63,101000,300500,5e+05
"652",0.63,501000,1250500,2e+06
"653",0.48,309500,582000,671000
"654",0.71,72030,120000,146000
"655",0.355,0,25000,50000
"656",0.355,0,25000,50000
"657",0.355,0,25000,50000
"658",0.355,0,25000,50000
"659",0.355,0,25000,50000
"660",0.355,0,25000,50000
"661",0.355,0,25000,50000
"662",0.355,0,25000,50000
"663",0.355,0,25000,50000
"664",0.355,0,25000,50000
"665",0.355,0,25000,50000
"666",0.355,0,25000,50000
"667",0.38,22395,50500,85000
"668",0.44,12000,17683,38500
"669",0.34,145883,250000,310000
"670",0.9,1e+05,3e+05,6e+05
"671",0.25,0,3e+05,2e+06
"672",0,1590814,1590814,1590814
"673",0,1590814,1590814,1590814
"674",0,1590814,1590814,1590814
"675",0,1590814,1590814,1590814
"676",0,1590814,1590814,1590814
"677",0,1590814,1590814,1590814
"678",0,1590814,1590814,1590814
"679",0,1590814,1590814,1590814
"680",0,1590814,1590814,1590814
"681",0,1590814,1590814,1590814
"682",0,1590814,1590814,1590814
"683",0,1590814,1590814,1590814
"684",0,1590814,1590814,1590814
"685",0,1590814,1590814,1590814
"686",0,1590814,1590814,1590814
"687",0.5,1590814,1590814,1590814
"688",0.5,1590814,1590814,1590814
"689",0.5,1590814,1590814,1590814
"690",0.5,1590814,1590814,1590814
"691",0.5,1590814,1590814,1590814
"692",0.5,1590814,1590814,1590814
"693",0.5,1590814,1590814,1590814
"694",0.5,1590814,1590814,1590814
"695",0.5,1590814,1590814,1590814
"696",0.5,1590814,1590814,1590814
"697",0.5,1590814,1590814,1590814
"698",0.5,1590814,1590814,1590814
"699",0.5,1590814,1590814,1590814
"700",0.5,1590814,1590814,1590814
"701",0.5,1590814,1590814,1590814
"702",0.5,50000,1e+05,2e+05
"703",0.5,50000,1e+05,2e+05
"704",0.5,50000,1e+05,2e+05
"705",0.4,1e+05,250000,5e+05
"706",0.4,1e+05,250000,5e+05
"707",0.4,1e+05,250000,5e+05
"708",0.35,1209120,3627360,7254720
"709",0.35,1209120,3627360,7254720
"710",0.35,1209120,3627360,7254720
"711",0.4,4e+06,5e+06,7500000
"712",0.4,4e+06,5e+06,7500000
"713",0.4,4e+06,5e+06,7500000
"714",0.8,165731.73,165731.73,165731.73
"715",0.8,165731.73,165731.73,165731.73
"716",0.8,165731.73,165731.73,165731.73
"717",0.95,16200,16200,16200
"718",0.95,16200,16200,16200
"719",0.95,16200,16200,16200
"720",0.95,2769.23,2769.23,2769.23
"721",0.95,2769.23,2769.23,2769.23
"722",0.95,2769.23,2769.23,2769.23
"723",0.95,188000,188000,188000
"724",0.95,188000,188000,188000
"725",0.95,188000,188000,188000
"726",0.9,55968,55968,55968
"727",0.9,55968,55968,55968
"728",0.9,55968,55968,55968
"729",0.65,906800.12,906800.12,906800.12
"730",0.65,906800.12,906800.12,906800.12
"731",0.65,906800.12,906800.12,906800.12
"732",0.5,37387.92,37387.92,37387.92
"733",0.5,37387.92,37387.92,37387.92
"734",0.5,37387.92,37387.92,37387.92
"735",0.5,40594,40594,40594
"736",0.5,40594,40594,40594
"737",0.5,40594,40594,40594
"738",0.75,155500,155500,155500
"739",0.75,155500,155500,155500
"740",0.75,155500,155500,155500
"741",0.6,20000,40000,60000
"742",0.6,20000,40000,60000
"743",0.6,20000,40000,60000
"744",0.6,20000,40000,60000
"745",0.6,20000,40000,60000
"746",0.6,20000,40000,60000
"747",0.6,20000,40000,60000
